1,Monitor 24 Pulgadas,649900,45,Electronica,Computador
2,Teclado Mecanico RGB,189900,120,Electronica,Accesorio
3,Mouse Inalambrico,79900,200,Electronica,Accesorio
4,Laptop Core i5,2499900,30,Electronica,Computador
5,Camisa Oxford Manga Larga,89900,85,Ropa,Camisa
6,Pantalon Jean Slim Fit,149900,60,Ropa,Pantalon
7,Zapatillas Running Pro,299900,40,Ropa,Calzado
8,Sofa Esquinero 3 Puestos,1850000,8,Hogar,Mueble
9,Arroz Integral 1kg,12900,300,Alimentos,No Perecedero
10,Celular Samsung Galaxy A35,1299900,55,Electronica,Celular
11,Disco Duro SSD 500GB,249900,90,Electronica,Computador
12,Audifonos Bluetooth,149900,150,Electronica,Accesorio
13,Camiseta Polo Slim,59900,110,Ropa,Camisa
14,Pantaloneta Deportiva,49900,95,Deportes,Ropa Deportiva
15,Licuadora 800W,189900,35,Hogar,Electrodomestico
16,Aceite de Oliva 500ml,35900,180,Alimentos,No Perecedero
17,Celular iPhone 15,4999900,20,Electronica,Celular
18,Balon de Futbol,89900,70,Deportes,Equipamiento
19,Mesa de Comedor 6 Puestos,1250000,5,Hogar,Mueble
20,Leche Entera 1L,4900,500,Alimentos,Perecedero
21,Tarjeta Grafica RTX 4060,2199900,15,Electronica,Computador
22,Webcam Full HD 1080p,149900,65,Electronica,Accesorio
23,Blusa Floral Mujer,69900,75,Ropa,Camisa
24,Jean Skinny Mujer,129900,50,Ropa,Pantalon
25,Bicicleta Montanera 29,899900,12,Deportes,Equipamiento
26,Nevera No Frost 320L,2850000,6,Hogar,Electrodomestico
27,Jugo de Naranja 1L,8900,400,Alimentos,Bebida
28,Tablet Samsung Tab A9,699900,28,Electronica,Celular
29,Maletero Deportivo 40L,129900,55,Deportes,Accesorio
30,Cuadro Decorativo Abstracto,189900,22,Hogar,Decoracion
31,Pasta Espagueti 500g,5900,350,Alimentos,No Perecedero
32,RAM DDR5 16GB,349900,80,Electronica,Computador
